zip_code,latitude,longitude,city,state,county
71840,33.316578,-93.854484,Genoa,AR,Miller
71841,34.065882,-94.358778,Gillham,AR,Sevier
71842,34.004404,-94.255693,Horatio,AR,Sevier
71844,33.70082,-93.294126,Laneburg,AR,Nevada
71845,33.292401,-93.597793,Lewisville,AR,Lafayette
71846,33.967541,-94.194636,Lockesburg,AR,Sevier
71847,33.915909,-93.61992,Mc Caskill,AR,Hempstead
71851,33.895583,-93.925108,Mineral Springs,AR,Howard
71852,34.024903,-93.942206,Nashville,AR,Howard
71853,33.596108,-93.960638,Ogden,AR,Little River
71854,33.431043,-93.876485,Texarkana,AR,Miller
71855,33.83663,-93.732727,Ozan,AR,Hempstead
71857,33.776791,-93.289132,Prescott,AR,Nevada
71858,33.70082,-93.294126,Rosston,AR,Nevada
71859,33.78127,-93.884355,Saratoga,AR,Howard
71860,33.343809,-93.50573,Stamps,AR,Lafayette
71861,33.112208,-93.322254,Taylor,AR,Columbia
71862,33.776095,-93.713625,Washington,AR,Hempstead
71864,33.70082,-93.294126,Willisville,AR,Nevada
71865,33.733218,-94.147399,Wilton,AR,Little River
71866,33.857142,-94.3748,Winthrop,AR,Little River
71901,34.526841,-92.958697,Hot Springs National Park,AR,Garland
71902,34.581374,-93.099403,Hot Springs National Park,AR,Garland
71903,34.581374,-93.099403,Hot Springs National Park,AR,Garland
71909,34.576246,-92.989435,Hot Springs Village,AR,Garland
71910,34.581374,-93.099403,Hot Springs Village,AR,Garland
71913,34.482214,-93.043902,Hot Springs National Park,AR,Garland
71914,34.513682,-92.968531,Hot Springs National Park,AR,Garland
71920,34.055486,-93.189406,Alpine,AR,Clark
71921,34.232509,-93.313673,Amity,AR,Clark
71922,34.146678,-93.653733,Antoine,AR,Pike
71923,34.031343,-93.111452,Arkadelphia,AR,Clark
71929,34.276538,-93.11742,Bismarck,AR,Hot Spring
71932,34.537164,-94.0972,Board Camp,AR,Polk
71933,34.356772,-93.350643,Bonnerdale,AR,Hot Spring
71935,34.392489,-93.683883,Caddo Gap,AR,Montgomery
71937,34.354193,-94.383483,Cove,AR,Polk
71940,34.146678,-93.653733,Delight,AR,Pike
71941,34.229869,-92.963796,Donaldson,AR,Hot Spring
71942,34.223546,-93.002367,Friendship,AR,Hot Spring
71943,34.206025,-93.589297,Glenwood,AR,Pike
71944,34.338462,-94.356273,Grannis,AR,Polk
71945,34.5019,-94.362242,Hatfield,AR,Polk
71946,34.459413,-94.200221,Hatton,AR,Polk
71949,34.709408,-93.038231,Jessieville,AR,Garland
71950,34.146678,-93.653733,Kirby,AR,Pike
71951,34.581374,-93.099403,Hot Springs National Park,AR,Garland
71952,34.146678,-93.653733,Langley,AR,Pike
71953,34.503699,-94.194756,Mena,AR,Polk
71956,34.637603,-93.233142,Mountain Pine,AR,Garland
71957,34.550661,-93.585206,Mount Ida,AR,Montgomery
71958,34.050402,-93.75435,Murfreesboro,AR,Pike
71959,34.146678,-93.653733,Newhope,AR,Pike
71960,34.474709,-93.669613,Norman,AR,Montgomery
71961,34.597982,-93.803388,Oden,AR,Montgomery
71962,34.041476,-93.267115,Okolona,AR,Clark
71964,34.431902,-93.249203,Pearcy,AR,Garland
71965,34.651272,-93.740852,Pencil Bluff,AR,Montgomery
71966,34.542995,-93.66463,Oden,AR,Montgomery
71968,34.514125,-93.282723,Royal,AR,Garland
71969,34.653145,-93.614286,Sims,AR,Montgomery
71970,34.673248,-93.53027,Story,AR,Montgomery
71971,34.294469,-94.095969,Umpire,AR,Howard
71972,34.394091,-94.253511,Vandervoort,AR,Polk
71973,34.307662,-94.36157,Wickes,AR,Polk
71998,34.055486,-93.189406,Arkadelphia,AR,Clark
71999,34.055486,-93.189406,Arkadelphia,AR,Clark
72001,34.943809,-92.923191,Adona,AR,Perry
72002,34.694468,-92.425087,Alexander,AR,Pulaski
72003,34.38443,-91.392364,Almyra,AR,Arkansas
72004,34.284273,-91.698007,Altheimer,AR,Jefferson
72005,35.502463,-91.081687,Amagon,AR,Jackson
72006,35.207566,-91.372792,Augusta,AR,Woodruff
72007,34.980269,-91.979545,Austin,AR,Lonoke
72010,35.331399,-91.520754,Bald Knob,AR,White
72011,34.509071,-92.482828,Bauxite,AR,Saline
72012,35.173395,-91.808393,Beebe,AR,White
72013,35.404671,-92.4808,Bee Branch,AR,Van Buren
72014,35.418352,-91.116292,Beedeville,AR,Jackson
72015,34.614356,-92.668034,Benton,AR,Saline
72016,34.968975,-92.626882,Bigelow,AR,Perry
72017,34.785525,-91.573785,Biscoe,AR,Prairie
72018,34.597345,-92.622857,Benton,AR,Saline
72020,35.380014,-91.525309,Bradford,AR,White
72021,34.883421,-91.194574,Brinkley,AR,Monroe
72022,34.612417,-92.493519,Bryant,AR,Saline
72023,34.826103,-91.931526,Cabot,AR,Lonoke
72024,34.7309,-91.75149,Carlisle,AR,Lonoke
72025,34.943809,-92.923191,Casa,AR,Perry
72026,34.509537,-91.299038,Casscoe,AR,Arkansas
72027,35.311464,-92.572763,Center Ridge,AR,Conway
72028,35.57727,-92.545572,Choctaw,AR,Van Buren
72029,34.745361,-91.247509,Clarendon,AR,Monroe
72030,35.395535,-92.701955,Cleveland,AR,Conway
72031,35.568709,-92.41875,Clinton,AR,Van Buren
72032,35.146446,-92.376466,Conway,AR,Faulkner
72033,35.105306,-92.354915,Conway,AR,Faulkner
72034,,,Conway,AR,Faulkner
72035,35.105306,-92.354915,Conway,AR,Faulkner
72036,35.004397,-91.252284,Cotton Plant,AR,Woodruff
72037,34.541185,-91.875767,Coy,AR,Lonoke
72038,34.459355,-91.317774,Crocketts Bluff,AR,Arkansas
72039,35.302414,-92.401428,Damascus,AR,Faulkner
72040,34.831514,-91.53744,Des Arc,AR,Prairie
72041,34.787106,-91.465859,De Valls Bluff,AR,Prairie
72042,34.2746,-91.414442,De Witt,AR,Arkansas
72043,35.632918,-91.262651,Diaz,AR,Jackson
